#midpoint_x midpoint_y name diameter emplacement_depth transgressive_height
438779.105 6394352.11 Sill1175 8486.23526053 4.45704100962 0.620074046513
432569.931 6386126.875 Sill1176 5100.04001755 1.97232682124 0.499054701194
436738.3705 6391641.005 Sill1177 6949.7259337 1.73038698398 0.450283210393
421428.1945 6379025.63 Sill1178 16056.0835395 2.86977386831 1.61836344791
428551.151 6376569.525 Sill1179 8048.32295143 2.14038548966 0.677977490304
406478.8375 6351794.82 Sill1180 7238.99546668 1.57138720172 0.528069165265
423696.6765 6368642.11 Sill1181 13521.0504704 3.75694549025 0.501463379209
417095.229 6365768.54 Sill1182 5762.22416583 2.6863268583 0.664211693634
443387.6765 6400621.795 Sill1183 12175.1749598 2.14438605832 0.623280156638
408227.0105 6335954.81 Sill1185 7818.16923585 2.30490054691 0.55394575272
382974.8325 6301967.63 Sill1186 3321.45851846 1.26321266883 0.0678158685255
385525.2155 6305457.61 Sill1187 3590.33439159 0.925351431763 0.160894812904
411822.582 6323642.475 Sill1188 2082.1202988 1.60520303592 0.0972995915085
412603.6495 6324616.045 Sill1189 4503.07967852 2.95808634623 0.283126474177
433102.1375 6307615.52 Sill1190 10991.0800383 4.84698879081 1.63674556465
449717.831 6333416.015 Sill1192 4047.87950845 4.04973655822 0.62273644961
436336.506 6296124.915 Sill1193 11982.7701639 1.34506652656 0.373132942285
413329.5735 6305077.185 Sill1194 5362.95316958 3.2374712957 0.485635800059
418815.2435 6302890.4 Sill1195 3269.18961384 3.00465089049 0.509817902381
419410.0905 6302670.77 Sill1196 8867.97684411 3.70770767893 0.417883496564
480859.299 6278821.74 Sill1197 1632.70540458 1.94019390444 0.155246561045
496134.411 6272563.23 Sill1198 2109.04047523 0.929396036339 0.159623732639
434041.9015 6296990.115 Sill1199 5925.91243406 3.46590611304 0.387813191964
436012.7425 6296237.945 Sill1200 7414.46888367 3.1423865522 0.523252026673
429048.749 6298891.355 Sill1201 2931.00228484 3.43143517229 0.253017932366
